title,description,categories
تاب بازی کودک طرح کیتی,تاب بازی طرح کیتی مقاوم و سرگرم کننده کودک مناسب شش هفت ماهگی به بالا,personal
امپلی 4کانال MB,"امپلی در حد نوووو MB 709
4950 Wat
با جعبه
فروش فوررى زیر قیمت بازار
  تلگرام جواب نمیدم فقط SMS بفرستید",vehicles
گوشی s6 edge رنگ گولد,سلام گوشی سالم بدون خط و خش,electronic-devices
نیم پوت زنانه سایز40-جنس کتان-کاردست وسنتی,خیلی شیکه خودم بیشتر خریدم پانخورده -فقط خریدارواقعی تماس بگیره مزاحمت پیگیری میشود,personal
۴۰۵نقره ای دوگانه سوز,کاملا سالم بی رنگ سی ان جی کارخانه لاستیک رودستون اصل در حد نو روکش پاور شیشه جلو دزدگیر دارد فنی کاملا سالم فقط مصرف کننده سند دست اول پنج سال تخفیف بیمه,vehicles
فروش سیستم حرفه ای  به قیمت مناسب،,برای گرفتن مشخصات لطفا تماس بگیرید،,electronic-devices
عینک واقعیت مجازی Quilo,"کاملا آکبند فقط چسب جعبه شو باز کردم بدلیل اینکه تبلتم داخلش جا نمیشد قصد فروش دارم.
توی بازار ۱۱۰ تومن قیمتشه.
لطفا تقاضای تخفیف نکنید.
باتشکر از عوامل دیوار",electronic-devices
پراید84دوگانه کاملا خانگی,پراید سفید مدل 84رنگ سفید دوگانهcngفابریک فقط ی گلگیر رنگ موتور تازه تعمیر شمع ووایر شمع وباطری نو کلیه سرویس ها انجام شده بیمه تا۳۰/۱۲/۹۵ ده سال تخفیف بیمه با 220تومن بیمه یکساله میشه ماشین دوسال خوابیده بوده ماشین برای زیرپام کاراش کردم فروش ب علت سربازی.همه توضیحات دادم فقط خریدارتماس بگیره.ناظر جان تایید کن.یاعلی,vehicles
مرغ و خروس و جوجه نژاد امپراطور,"تعدادی مرغ و خروس بالغ و جوجه امپراطور اصیل و سالم
تغذیه با جیره مناسب
مرغ ها تخم گذار و کُرچ",leisure-hobbies
مبلمان راحتی,راحتی 7نفره به همراه کنسول و میز وسط.تمیز و سالم.چون عسلی روی خود کار است فضای کمتری اشغال میکند.,for-the-home
تاپ,تاپ مخصوص داخل منزل,for-the-home
جوجه مرغ عشق دستی,"جوجه مرغ عشق دستی کاملا سالم و خوشکل 
اماده اموزش",leisure-hobbies
کالسکه سه چرخ,مدل خارجی ارابه,personal
تاپ مهمونی,سایز ٣٨ مجلسی,personal
چارپایه فلزی,"جایگزین نردبان
کاملا سالم",for-the-home
یخچال صنعتی,بسیار سالم،بدنه استیل,businesses
کفکش درجه یک سالم,یک عدد کفکش سالم تا عمق 75متر آب را بالا میکشد.,businesses
کت ترک,"کت اسپرت 
تلگرام جوابگو هستم",personal
تایر فابریک تندروسمند-خیلی تمیز و سالم,"4حلقه تایر فابریک تندر 90 - بدون پنچری ، خیلی تمیز
مناسب تاکسی ، آژانسی و مصارف شهری-درحد50%
مارک بارز ، سایز$NUM، جهت تندر و سمند",vehicles
کفش کوه پایار,"کفش کوه پایار
سایز 40
کفی سالم",personal
فروش قالب فلزی و جک صلیبی،لوله داربست،بولت و ...,فروش کلیه لوازم قالب بندی,businesses
جاروبرقی,انواع تعمیرات جاروبرقی همه،مدل با کمترین هزینه همراه باپیک رایگان تعویض موتور سوخت و سرویس جاروبرقی فقط سی پنج تومن,for-the-home
کمد وجاکفشی,کمدفقط پایینش احتیاج به تعمیرداره توعکس مشخصه 80تومن جاکفشی سالم خودم برچسب مشکی زدم میتونید بکنید 80تومن,for-the-home
مانکن مردانه,6 عدد مانکن مردانه المپیک اصل تمیز و بدون شکستگی به صورت تکی و کلی به علت تغییر شغل به فروش میرسد در صورت خرید کلی تخفیف هم داده میشود,businesses
بکسل بند بنز 220,با سلام فروش بکسل بند بنز 220 ب همراه پریز برق اصلی خیلی شیک و تمیز خوراکه ماشین بازا,vehicles
پیراهن دخترانه مجلسی,"سایز 36_38
پشت زیپ
یقه انگلیسی خیلی باز
قد 95
جنس تافته
فقط 1بار پوشیده شده 
قیمت خریدش 130 ت بوده",personal
برنج مرغوب,برنج شمال به شرط پخت کیلویی ۸تا ۱۰هزار تومن  محصول خودم درصورت راضی نبودن برگشت پذیرفته میشود,businesses
دستگاه برقی برش خازن ، ترانزیستور و قطعات رادیال,دستگاه اتوماتیک نو جهت برش انواع قطعات رادیال مانند انواع خازن و ترانزیستور نواری با قابلیت تنظیم پایه.,businesses
چوبکار,"تعداد ۵۰۰عددچوبکار بسته ۱۲تایی ۲۵۰۰
پلاستیک خشک نیست جنس خوب",businesses
تخت نوزادی,ننو کنار تخت مادر بسیار سالم و تمیز دارای پشه بند و زیرش هم چرخ داره,personal
بوفه,بوفه در حد نو بدون هیچ خط و خش. با تشکر از دیوار,for-the-home
مانتو پاییزه کاملا نو سایز ٤٠,مانتو پاییزه سایز ٤٠ کاملا نو از ملون در پاسداران خریدم,personal
بوت اسکی,بوت اسکی دخترانه راچلی حرفه ای سایز ۳۷ ۳۸,leisure-hobbies
کیف مارک استفاده نشده,کیف نو. مارک. قیمت$NUMتومان.جنس حالت پارچه. مزاحمت توسط همسرم پیگیری میشه,personal
فروش پیراهن بصورت عمده,حدود ١٠٠٠عدد پیراهن اسپرت,businesses
سبد فلزی,سبد فلزی مناسب مغازه کاملا سالم و نو,businesses
لوازم آکواریوم - اسکیمر,اسکیمر فرانسوی ، آکبند ، فوق العاده حرفه ای برای آکواریوم آب شور .,leisure-hobbies
گوشی سامسونگ تاشو نو,گوشی سامسونگ تاشو نو یک روز استفاده شده 130قیمت موبایل فروش چون درب پشتش گم شده 90تومان میدم  می تونید قیمت بگیرید,electronic-devices
گوشی اپل 6,نوع نوع با تمام امکانات با جعبه,electronic-devices
مودم کامپیوتر,یک عدد مودم کامپیوتر سالم,electronic-devices
فروش قناری مرغ عشق عمدهف,بورس انواع پرنده نقدواقساطجعفری,businesses
انواع گوسفند,سلام علیکم گوسفند بره همراه با قصاب موجود میباشد همه جای قم همه روزه,leisure-hobbies
میز کامپیوتر,یک عدد میز کامپیوتر بدنه کاملا سالم,businesses
گلدان با گل های چینی,یک گلدان  با گل های چینی که کار دست است به فروش میرسد . قیمت خیلی خوب گذاشتم . با تشکر از دیوار,for-the-home
عروس هلندی,عروس هلندی نر . بالغ مولد_کشیده بلند _ 3 ساله. سرحال به شرط نطفه مست مست . ماده ش 7 تخمه بود تخم تو پشتش پیچید و مرد . هر 6 تا تخمی که گذاشته بود نطفه دار بود. به شرط میدم.,leisure-hobbies
متورهندامدل 91خیلی کم کارکرد.سالم.,متورهندامدل91همه چیزسالم متوریت سالم اصلاهیچ مشکلی نداره پنج دنده ی استاردی یه سالم کلاکناربوده خیلیم کم استفاده شده متوریتش معلومه یه تخفیف کوچیک داره پای معامله ساعت تماس6عصربه بعد یاعلی,vehicles
اردوخوری (انواع ترشی.مربا)سالم,اردوخوری شیک از جنس سرامیک,for-the-home
چیلر اکواریوم,چیلر هایلا ٢٥٠ ، کم کارکرد و سالم,leisure-hobbies
دستگاه قالب گشاد کن کفش,قالب گشاد کن کفش .جنس تمام الومینیوم.8 جفت سر قالبی . بهترین قالب موجود در بازار,businesses
فروش ارم طرح ترافیک سالیانه,جهت خودروهای پژو پراید مدل ۱۳۸۶ به بعد,vehicles
صندلی جکدار مدیریت,صندلی مدیریت سالم جکدار گردون,businesses
سایزش ۴۰,در حد نو سالم شهرری هستم,personal
اسکیت نوع کم کارگرد,اسکیت خیلی خوبیه درحد نوع اسپورت همه چیز روش مچبند پابند دستکش سایز$NUM,leisure-hobbies
گوشی,گوشی سالمه مدلش   SONY XPERIA L خریدار واقعی تماس بگیرد با تشکر از برنامه دیوار,electronic-devices
بلوز بافت,دخترانه سالم،گلبهی,personal
دوچرخه ۲۰,"سالم در حد نو
ترمز دیسکی 
کمک فنر دار 
لاستیک نو",leisure-hobbies
میز کامپیتر و صندلی,باسلام یک میز کامپیتر با صندلی,for-the-home
فروش کالباس بر ایتالیایی  تمیز در حد ااکبند,کالباس بر ایتالیایی کم کارکرد با تیغه فابریک,businesses
پالتو,پیراهن مجلسی بلوز پالتو وخیلی چیزهای دیگه.....مناسب سن5-8,personal
قناری رسمی ماده,دو عدد قناری رسمی خوشگل نزدیک به آماده دونه ای 35بدون چانه. با تشکر از عوامل دیوار,leisure-hobbies
پراید ۱۱۱,پراید ۱۱۱مشکی مدل ۸۹ تا ۶ماه بیمه دارد.,vehicles
کلاه اسپرتی,فروش عمده انواع کلاه,businesses
وینگل 5 مدل 93,"وینگل 5 
مدل 93
بدون رنگ
9ماه بیمه
بالوازم",vehicles
یخچال ایستاده تک درب,موتور ترک لطفا فقط تماس بگیرید,businesses
چهار عدد جا نماز چهار عدد هم تسبیح نونو,برام از مکه آوردن اصلا استفاده نشد مخمل خوب و نرمی داره,personal
قناری گلاسر,تعدادی گلاسر تقریبا 20 جفت هستن رو هم جفتی$NUM,leisure-hobbies
خروس اصیل,خروس سالم و اصیل,leisure-hobbies
کاپشن مردانه حرفه ای,کاپشن تو خزدار زمستانه حرفه ای جیب جلو هر کدام صد تومن پول یه پلیور هم نمیشه,personal
دوچرخه فلاش 2016ابی نو,قیمت اصلی در بازار$NUMتومان,leisure-hobbies
تلویزیون,"۲۱اینچ سامسونگ,۶ماهه کار کرده ,سالم بدون هیچگونه ایراد,",electronic-devices
سابJBL1000,کمتر از یک ماهه خریدم بخاطر سیستم حرفه ای که بعدش  نصب کردم میفروشمش.واقعا در حد صفره,vehicles
دستگاه پنج کاره نجاری ایتالیایی,دستگاه پنج کاره نجاری ایتالیایی۴۰ سانتی بسیارتمیزو کم کارتمام قطعات فابریک  قیمتوخیلی خوب زدم تابفروش بره توبازار خیلی قیمتش بالاتره.... لطفا فقط تماس,businesses
فروش مقداری سیم برق با مناسب ترین قیمت,"*تحویل رایگان*


سیم شماره1.5   سه بسته   هربسته30

تومن

  سیم شماره2.5   دو بسته   هر بسته50تومن  

      سیم شماره4   یک بسته   74تومن


*تحویل رایگان*",businesses
2تا بازی   ps4,the last of us and hard line.خیلی تمیز و در حد نو جفت بازیها,electronic-devices
جک سوسماری ۱۰ تن,یک عدد جک سوسماری ۱۰ تن به فروش می‌رسد.,businesses
تلویزیون,یک دستگاه تلویزیون الجی 21اینچ کاملن سالم در حد نو,electronic-devices
طوقی هفت رنگ,کفترهاطوقی همه نر وهوای خریدار واقعی درضمن مشهد هستند,leisure-hobbies
موتوراپاچی۱۸۰بسیارسالم بدون زمین خوردگی وخط وخش,بیمه تابرج۵/۹۶کارکرد واقعی ۷۵۰۰,vehicles
mvm315 new صندق دار مدل 94,بیمه ثالث وبدنه تا برج 12 وتخفیف بیمه ساعت تماس 15الی 19 عصر این خودرو مناسب جهت مصرف کننده کاملا فنی سالم,vehicles
کاناپه ال مانند ٧نفره,"کاناپه ال مانند ٧نفره به صورت توافقی به فروش میرسد 
برای اطلاعات بیشتر تماس بگیرین$NUM",for-the-home
تردمیل,"تردمیل تاشو بسیار نو میباشد
باکلیه امکانات",leisure-hobbies
اسنوبرد Lobster,"یک فصل استفاده شده ١٠بار کاملا سالم به همراه فیکس (بوت فروشى نیست) 
مدل jib board نرمى بسیار بالا
پیامک جواب داده نمی شود",leisure-hobbies
مدل پارادایس,"مبل مدل پارادایس 
موجود با همین رنگ 
قیمت کف کارخانه با جلو مبلی 
ست هفت نفره 
پارچه ترک 2 سال ضمانت 
کار کف نمایشگاه بوده بعلت جا به جایی این قیمت هستش 
قیمت فروش مبل 5200 هستش",for-the-home
تولید وفروش فرش دستباف به صورت شرایطی,تولید وفروش انواع فرش وتابلوفرش وگلیم وگبه وگلیم فرش در طرح های مختلف....,for-the-home
سونی z,سفید،فورجی،دوربین13،حافظه 16و......تماس بگیرید تخفیفم یکم داره,electronic-devices
راحتی 4 نفره,یک عدد دو نفره دو عدد تک نفره با میز وسط تشک ها قابل شستشو بدنه بسیار محکم,for-the-home
مرغ عشق تک رنگ وناز,مرغ عشق بالغ .نر است خودتون ک میبینید سرحال سرحال بدون هیچ مشکلی,leisure-hobbies
تشک رویال تخت ،تخت وپارک,"تشک کاملا تمیز ،سالم 
مناسب تخت چوبى،تخت وپارک 
اندازه ٩٠ در ١١٠",personal
کریر در حد نو,کریر واقعن در حد نو,personal
شیرینی خوری آلمانی,"با سلام خدمت دوستاران و علاقه مندان به سایت دیوار . 
*شیرینی خوری دو طبقه کریستال آلمان بسیار شیک و کم یاب$NUMهزار تومان
*میوه خوری پایه دار$NUMهزار تومان
*آجیل خوری$NUMهزار تومان
*نقل خوری پایه دار$NUMهزار تومان",for-the-home
باندهای سینما 1000 وات LG,چهار عدد ساراند و ساب ال جی سالم وتمیز,electronic-devices
نوکیا دو دستگاه. جی ال ایکس یکی,"نوکیا صفحه رنگی با دوربین فقط آنتن نداره
نوکیا معمولی باطریش خرابه
جی ال ایکس دو سیم باطریش خرابه
سه تا باهم، تکی نمیفروشم
لطفا اس ندین...",electronic-devices
میز کامپیوتر ترکیه کاملا سالم و محکم,خریدارواقعی تخفیف هم داره.لطفا فقط اس بدید,for-the-home
کاپشن برا پسربچه ی 4-5ساله انگلیستان,از انگلیستان آوردن یکی دو بار پوشیده کوچیک شده براش فقط تماس قیمتو خیلی پابین زدم بازم تخفیف جزءی داده میشود,personal
بازی ps4,هر دو بازی ریجن عال هستن,electronic-devices
ایفن6 گلد 64G,گوشی در حد نو میباشد بدون هیچ زمین خوردگی و ضربه وتعمیر .در حد آکبند میباشد .همراه با ۳تا گلس و ۳ عدد ژله ای دور طلاییَ,electronic-devices
پالتو در حد نو,سایز لارج ٤٠,personal
قناری سفید رسمی کوتاه بلند در حد مست,"سلام 
قناری تو قفس جوجه پرون بوده جداش کردم شروع به خوندن کرده 24 ساعته میخونه ی هفته دو هفته دیگه مست مست میشه الانم گیجمون کرده  
تماس بگیرید 
واتساپ،  تلگرام سوال داشتید در خدمتم 
یاعلی ✋",leisure-hobbies
lg optimus g pro,"ال جی جی پرو e988
ای سی دی 5.5 اینچ ips
4G (LTE) , 3G ,2G
سی پی یو 4 هسته 1.7 گیگا هرتز
رم 2 گیگا بایت
حافظه داخلی 16 گیگابایت
رنگ مشکی
ورژن اندروید 4.4.4
همراه با جعبه و هندزفری و شارژر و کابل یو اس بی
دوام باتری در استفاده معمولی تا 2 روز و استفاده زیاد یک روز
بدون کوچکترین خط و خش
کاور + کیف + محافظ صفحه اضافه
فوق العاده تمیز و کم کارکرد (درحد نو)",electronic-devices
کفش lowa,مدل mountain Expert سایز ٤١.٥ زنانه کاملا نو,leisure-hobbies
فروش کتابخانه و کمد مستقیم از کارخانه,به قیمت کارخانه کمد و کابینت خود را بسازید$NUM,businesses
بخاری گازی نیکالا,بخاری گازی در حد نو فقط ٢ سال استفاده شده,for-the-home
پخش عمده و جزئی,پخش عمده و جزئی دم کنی در طرح ها و رنگهای گوناگون,businesses
بافت مردانه درحد نو,سلام،بافت مردانه تمیز و در حد نو میباشد.مناسب سایز XL.یقه زیپ دار،رنگ سورمه ای. فوق العاده گرم و کلفت،از این بافتای نازک نیست،قیمتو کم زدم چون سایزم نیست.سوالی برای اندازه دقیقتر داشتید پیامک کنید.,personal
پراید مدل ۸۳,با سلام خدمت همشهریان یکدستگاه پراید مدل ۸۳انژکتوری بیمه و معاینه فنی تا اخر سال ۹۵ و تخفیف بیمه ۸سال تخفیف پایه معامله ماشین تک سوز میباشد,vehicles
غلطک تک پمپ,خیلى کم کار و اماده به کار میباشد,vehicles
کیت ومخزن سی ان جی ۱۲کیلوی پرایدی,مخزن۱۲کیلوی پرایدی به همراه کلیه وسایل واجرت نصب ۴۵۰هزار .مخزن کره ای ورگولاتورش ایتالیای هست,vehicles
فر ساندویچی و فر پیتزا(تولید کننده),تولید کننده فر پیتزا و فر ساندویچی فر دیزی پز در ابعاد گوناگون,businesses
لباس مجلسی,لباس شب عقد,personal
کیف حصیری چرمی,کیف کار ترک مجلسی,personal
چادر ملی  برا 10 سال,با سلام.چادر ملی با قد جلو 120  سانت به فروش میرسد نوی نو میباشد.با پارچه ی فوق ا لعاده سبک به رنگ سیاه. خریدار واقعی تماس بگیرند.ممنون,personal
اکواریوم 100×50×50,شیشه 10 میل دارای دوپل کف و دو پل رو مناسب جهت سایز,leisure-hobbies
فروش مودمusb رایتل,مودم رایتل در حد نو به ارزش$NUMتومان ، سبک و راحت جهت اتصال به اینترنت,electronic-devices
کاپشن,به صورت تک وعمده به فروش میرسد,personal
تخت و ننو دوکاره اصلا استفاده نشده است,لطفا فقط تماس بگیرید اس ام اس پاسخگو نیستم,personal
گلکسی نوت ۳,دوتا ایفس هم داره.سالمه سالم هیچ مشکلی نداره .تخفیف هم میدم یکم .خاهشا فقط برایه خرید تماس بگیرید معاوضه ندارم.,electronic-devices
پالتو تقریبانو,پالتوتقریبانوچندباربیشترنپوشیدم خودم 90خریدم به مشتریان واقعی تخفیف میدم,personal
انگشتر عکسی,سلام شخصی به حال ایستاده قیمت 2م,personal
کفش زنانه نال دار نو,سایز ۳۸ نو نو با تشکر,personal
ویترین مغازه,ویترین سه طبقه شیب دار دو طرف اینه دو تیکه سفید اندازه طول ١٥٠ سانتی متر ارتفاع ١١٠ سانتی متر طبقات به ترتیب از پایین ٦٠،٥٠،٤٠ سالم و تر تمیز با نور پردازی سالم,businesses
قــهـوه و تــجـهیـزات,"سیلوى قهوه
جهت نگهدارى قهوه و خشکبار
با ظرفیت ٥ کیلویى 
در ٣ رنگ 
با ضمانت
با تشکر از دیــوار",businesses
چرخ کوشت ۳۲,سلام سالم میباشد و در حال کار بوده,businesses
نشاء توت فرنگی,"چهار فصل
قیمت ۱۰۰۰ تومن
کلی و جزیی",businesses
پراید هاج بک مدل 77,پراید هاج بک  مدل 77 فنی سالم عقب جلو پلمپ  تمامی سرویسها تازه انجام شده بیمه تا اخر برج 11 تخفیف سه سال لاستیکهای جلو 90 درصد عقب 50درصد تقریبا بی رنگ تخفیف پای معامله,vehicles
پراید مدل 77 سفید,8 سال تخفیف  تا برج 9 بیمه عقب جلو سقف ستون سالم فنی بسیار سالم لاستیک جلو 90 درصد سه لکه رنگ فوری فروشی  با تشکر از دیوار,vehicles
خرید انواع ضایعات ب قیمت عمده.,"خریدن انواع ضایعات در محل شما.
بدون هزینه حملو نقل.بدون هزینه بار بری.
با تشکر از کارکنان سایت دیوار",businesses
مته بتن کن,"مته بتن کن نو مارک VENUS DSH سایز 22
زیر قیمت بازار
قیمت مقطوع مقطوع
تقاضای تخفیف نفرمایید",businesses
فروش تردمیل Green lifeا,"ساخت تایوان،بسیارتمیز،کم کارکرد،چند کاره،دارای ویبره،مسگری،و...
عکسها کیفیت نداره باید از نزدیک ببینید",leisure-hobbies
جک دنده کارمندی,بیمه ٦ماه آماده سند خودرو بدون گریسی میباشد شاستی جلو وعقب پلمپ فقط کاپوت جلو به گفته کارشناسی رنگ و آبرنگ، ماشین تزیینات داخل و بدنه خودرو در حد مدل٩٥،باتشکراز دیوار,vehicles
دوربین نقشه بردارى نیوو. ویلد,قیمت مقطوع,businesses
کفش لژ مخفی سایز 36,نوی نو یک بار پوشیده شده جنس چرم لژ مخفی 7سانت قیمت خرید 180مارک VIchy,personal
کفش,"کفش ها هر جفت سه تومن
همه با هم یکجا$NUMتومن میدم
۱۴ جفت هست
خواستید عکس بقیه ش رو هم می فرستم کفش ها سایز ۳۷ هستند",personal
k550i sony Ericsson,سالم و بدون مشکل،رم خور بلوتوث دوربین جاوا!گوشیه خوبیه واسه کارای معمولی!,electronic-devices
تعدادی لباس توافقی,باسلام. تعدادی لباس نو و مارکدار. توافقی به فروش میرسد.تعداد کمی هم درحد نو هستند.سایز38 تا42 .کشی هاهم فری سایز .ارزان و توافقی به فروش میرسد.برای دیدن تصویر تمامی لباس ها به تلگرام یاواتساپ من مراجعه کنید.,personal
تلویزیون ومیز,تلویزیون ال جی ۲۱اینچ سالم بامیز,electronic-devices
مرغ عشق دو ماهه سر حال,"با سلام
چهار عدد مرغ عشق که دو تا نر دوتا ماده هستن که از جوجه کشی خودمه تغذیه شده از پدر مادر با مواد طبیعی سالم و سر حال دوست داشتنی با قیمت مناسب
با تشکر از دیوار",leisure-hobbies
دوچرخه 26,یک دستگاه دوچرخه دنده ای الگانس تمیز ، سایز 26,leisure-hobbies
۳عدد مانکن مردانه,باسلام. فروش ۳ عدد مانکن مردانه دانه ای ۴۰۰۰۰تومان در حدنو,businesses
ماده طوقی بی عیب,سلام خریدار یه ماده طوقی بی عیب سیاه یا زرد یا سبز خشکل یا طوقش کیپ باشه یا دو بر قفل باشه داداش طوقی خوب میخوام به قیمتم میخوام ترجیحا.  قیمت و عکس رو تو واتس اپ یا تلگرام بفرستین خودم تماس میگیرم.,leisure-hobbies
نوکیا 1016 باب ویترین,نوکیا 1016 باب ویترین بدون خط و خش,electronic-devices
قناری,تعداد 5 عدد قناری سوپر ماده آماده و تعداد 17 جفت قناری رسمی بلند با تخم بفروش و یا تعویض با خودرو پژو میرسد,leisure-hobbies
بسیار سالم,بوفه 6 ردب تمام چوب/ تخفیف دارد,for-the-home
چرخ گوشت,سلام چرخ گوشت حرفه ای با موتور دینام با دو پنجره چرخ کردن، ریز و درشت.مخصوص قصابی ها،رستورانها و ...تخفیف جزی موقع خرید,businesses
نیسان فوق العاده سالم,بیمه ۱ سال.بیرنگ.تک سوز.فنی سالم,vehicles
یک دستگاه فریزر سالم در حد نو,فقط تماس تلفنی پیامک ندید لطفا,businesses
گوشی موبایل هوآوی مدل G610,گوشی سالم ،به شرط ،در حد نو ،بازدید مساوی با خرید,electronic-devices
مانتو نو,کاملا نونو زیر قیمت خرید سایز 38 تا 42,personal
چاپگر-پرینتر جوهرافشان - Canon iP330,"چاپگر- پرینتر جوهرافشان - Canon / کانن PIXMA iP3300
سالم و تمیز
جوهر باید تعویض شود
بسیار کم استفاده شده و به دلیل استفاده ی کم جوهرش خشک شده است",electronic-devices
فروش کولر دوتیکه ۲۴ هزار کین,"کولر دوتیکه کین. ۲۴ هزار. بسیار تمیز. فقط ۳ سال کار کرده. همراه با ۴/۵ متر لوله. تازه سرویس شده. دلیل فروش هم جابجایی منزله. به مشتری واقعی تخفیف هم داده میشه.
پیامک جواب داده نمیشه!
تماس تبلیغاتی و دلال ممنوع!",for-the-home
فروش ساق بند,"فروش ساق بند چسپی تمیز 
تخفیف میدم 
تلگرام . واتساپ
یاعلی",leisure-hobbies
نوکیا 7230 کشویی,فروش فوری بدون عیب و نقص سالم,electronic-devices
پنج عدد میز,پنج عدد میز به فروش میرسد .,businesses
باند کنوود 718 طرح به قیمت,زیاد کار‌نکردن در حد اک‌هستن‌. پول باند  معمولیه .باتشکر .,vehicles
ماده بلبل,یک عدد ماده بلبل میخوام وحشی یا غیر وحشی فرقی نداره کسی داره بگه ممنون,leisure-hobbies
تخت دونفره باتشک میزآینه کنسول وصندلی,تخت دونفره میباشد باتشک میزآرایش وکنسول وصندلی مفت زدم باتشکرازعوامل دیوار,for-the-home
لباسشویی اسنوا اصل کره 5کیلویی,سالم. لباسشویی بذرگتر خریدم قیمت نو بالای 1.5 م هست. تشکر از دیوار,for-the-home
تخت دونفره اسپرت وکمد,تخت دونفره اسپرت به اضافه دوویترین اسباب بازی وتخت میزبان دارای ۱۶ چرخ میباشد وتمام ام دی اف وکاملا سالم,for-the-home
تردمیل,تردمیل درحدنو .دارای سیستم موزیکال .ویبره.مسگری.برقی میباشد,leisure-hobbies
مرغ عشق دستی البینو چش شرابی,باسلام یک عدد مرغ عشق ماده البینو دستی ناز دارم که چشاشم قرمزه برااونایی که مرغ عشق دارن نژاد خوبیه دستیه وبه هیچ وجه گازنمیگیره بدون قفس میدم30هزارتومن اگر تمایل به خرید دارین پیامک ندینو زنگ بزنین تخفیف نداره ومقطوعه,leisure-hobbies
Asus zenfon 5 dual SIM,"ایسوس زنفون  5 کار کرده دو سیم کارت 
دوربین 8 و سلفی 2 اچ دی 
چهار هسته ای با رم 1 گیگ
صفحه نمایش اچ دی 5.2 اینچ
گوشی از هر لحاظ سالم میباشد بدون تعمیر 
گوشی خوب و قدرتمندی هست
به خریدار واقعی تخفیف داده میشود 
با تشکر از دیوار",electronic-devices
تابلو مینیاتوری سلطنتی,کاملا نو و به صورت مینیاتوری با قاب سلطنتی,for-the-home
تلویزیون 32 اینچ,تلویزیون32 اینج پاناسونیک,electronic-devices
خروس لاری,"خروس لاری ضربه مرگبار
تاج سنگی آماده میدان خروس لاری جنگی",leisure-hobbies
جاروزنامه,"جاروزنامه فقط 20
اس ام اس پاسخگو نیستم 
امکان تحویل مترو فدک",for-the-home
کیف مویی اسپریت ESPRIT,کیف مویی اسپریت مشکی ESPRIT. بسیار تمیز. مناسب فصل سرد. کیفهای جنس مویی در هر برندی قیمتش بالاتر از بقیه هست. قیمت بسیار مناسب$NUMاز دبی خریداری شده. فروش به علت مهاجرت.,personal
فیلتر k&n  پژو,یک عدد فیلتر دائمی آمریکایی اورجینال در حد نو جایگزین پژو و سمند مخصوص کسانی که میخوان تقویت موتور کنند نو این 220 تومنه اینم در حد ه,vehicles
کیف مدرسه کیتی دخترانه,اینو واسه دخترم خریدم دو سه بار ازش استفاده کرد از عکسش خوشش  نمیاد بازار ۵۵تومنه من ۴۳میفروشم لطفا فقط تماس بگیرین ممنون,personal
مینی بوس هیونداجلوش رنگه,فروش مینی بوس هیوندا جلوش رنگ سینی تعویض بیمه تابرج آخر11لاستیک نو سندآماده محضر تخفیف جزیی پول فقط نقدکامل,vehicles
